"txn_id","amount","counterparty_name","counterparty_iban","purpose","currency","side","booking_date","value_date"
"4739286187","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-03-18 23:00:00+00","2025-03-18 23:00:00+00"
"4739286289","2198","TELEKOM DEUTSCHLAND GMBH","DE78700800000144443000","ZAHLBELEG 378896249168","EUR","debit","2025-06-22 23:00:00+00","2025-06-22 23:00:00+00"
"4739286221","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-04-19 23:00:00+00","2025-04-19 23:00:00+00"
"4739285616","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-09-26 23:00:00+00","2025-09-26 23:00:00+00"
"4739286359","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-08-25 23:00:00+00","2025-08-25 23:00:00+00"
"4739286392","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-09-26 23:00:00+00","2025-09-26 23:00:00+00"
"4739285379","2015","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-02-14 23:00:00+00","2025-02-14 23:00:00+00"
"4739285446","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-04-19 23:00:00+00","2025-04-19 23:00:00+00"
"4739286323","2198","TELEKOM DEUTSCHLAND GMBH","DE78700800000144443000","ZAHLBELEG 378896249168","EUR","debit","2025-07-24 23:00:00+00","2025-07-24 23:00:00+00"
"4739286120","1990","TELEKOM DEUTSCHLAND GMBH","DE37700800000133332000","ZAHLBELEG 378896249168","EUR","debit","2025-01-13 23:00:00+00","2025-01-13 23:00:00+00"
"4739285337","1990","TELEKOM DEUTSCHLAND GMBH","DE37700800000133332000","ZAHLBELEG 378896249168","EUR","debit","2025-01-13 23:00:00+00","2025-01-13 23:00:00+00"
"4739286256","1800","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-05-21 23:00:00+00","2025-05-21 23:00:00+00"
"4739285481","1800","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-05-21 23:00:00+00","2025-05-21 23:00:00+00"
"4739286154","2015","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-02-14 23:00:00+00","2025-02-14 23:00:00+00"
"4739285583","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-08-25 23:00:00+00","2025-08-25 23:00:00+00"
"4739285514","2198","TELEKOM DEUTSCHLAND GMBH","DE78700800000144443000","ZAHLBELEG 378896249168","EUR","debit","2025-06-22 23:00:00+00","2025-06-22 23:00:00+00"
"4739285412","2198","TELEKOM DEUTSCHLAND GMBH","DE91700800000161109500","ZAHLBELEG 378896249168","EUR","debit","2025-03-18 23:00:00+00","2025-03-18 23:00:00+00"
"4739285547","2198","TELEKOM DEUTSCHLAND GMBH","DE78700800000144443000","ZAHLBELEG 378896249168","EUR","debit","2025-07-24 23:00:00+00","2025-07-24 23:00:00+00"
"4739286143","5445","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-02-02 23:00:00+00","2025-02-02 23:00:00+00"
"4739286320","1382","REWE Süd sagt danke","DE74700800000035698700","Vielen Dank für Ihren Einkauf","EUR","debit","2025-07-21 23:00:00+00","2025-07-21 23:00:00+00"
"4739285577","1382","Aldi Sued","DE74700800000035698700","Vielen Dank für Ihren Einkauf","EUR","debit","2025-08-22 23:00:00+00","2025-08-22 23:00:00+00"
"4739285568","2691","Aldi Sued","DE56700800000655132100","Vielen Dank für Ihren Einkauf","EUR","debit","2025-08-13 23:00:00+00","2025-08-13 23:00:00+00"
"4739285544","1382","REWE Süd sagt danke","DE74700800000035698700","Vielen Dank für Ihren Einkauf","EUR","debit","2025-07-21 23:00:00+00","2025-07-21 23:00:00+00"
"4739285535","2691","Tengelmann","DE18700800000124578965","Vielen Dank für Ihren Einkauf","EUR","debit","2025-07-12 23:00:00+00","2025-07-12 23:00:00+00"
"4739285435","2691","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-04-07 23:00:00+00","2025-04-07 23:00:00+00"
"4739286311","2691","Tengelmann","DE18700800000124578965","Vielen Dank für Ihren Einkauf","EUR","debit","2025-07-12 23:00:00+00","2025-07-12 23:00:00+00"
"4739285510","1382","Aldi Sued","DE74700800000035698700","Vielen Dank für Ihren Einkauf","EUR","debit","2025-06-19 23:00:00+00","2025-06-19 23:00:00+00"
"4739286285","1382","Aldi Sued","DE74700800000035698700","Vielen Dank für Ihren Einkauf","EUR","debit","2025-06-19 23:00:00+00","2025-06-19 23:00:00+00"
"4739285443","1382","Aldi Sued","DE89700800000000057526","Vielen Dank für Ihren Einkauf","EUR","debit","2025-04-16 23:00:00+00","2025-04-16 23:00:00+00"
"4739286277","2691","Aldi Sued","DE77700800000035687200","Vielen Dank für Ihren Einkauf","EUR","debit","2025-06-10 23:00:00+00","2025-06-10 23:00:00+00"
"4739285502","2691","Aldi Sued","DE77700800000035687200","Vielen Dank für Ihren Einkauf","EUR","debit","2025-06-10 23:00:00+00","2025-06-10 23:00:00+00"
"4739285477","1896","Aldi Sued","DE89700800000000057526","Vielen Dank für Ihren Einkauf","EUR","debit","2025-05-18 23:00:00+00","2025-05-18 23:00:00+00"
"4739285469","3325","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-05-09 23:00:00+00","2025-05-09 23:00:00+00"
"4739285366","5445","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-02-02 23:00:00+00","2025-02-02 23:00:00+00"
"4739286252","1896","Aldi Sued","DE89700800000000057526","Vielen Dank für Ihren Einkauf","EUR","debit","2025-05-18 23:00:00+00","2025-05-18 23:00:00+00"
"4739286388","1965","Aldi Sued","DE89700800000000057526","Vielen Dank für Ihren Einkauf","EUR","debit","2025-09-23 23:00:00+00","2025-09-23 23:00:00+00"
"4739285334","2521","Aldi Sued","DE94700800000000003213","Vielen Dank für Ihren Einkauf","EUR","debit","2025-01-10 23:00:00+00","2025-01-10 23:00:00+00"
"4739286379","2691","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-09-14 23:00:00+00","2025-09-14 23:00:00+00"
"4739285376","1382","Aldi Sued","DE89700800000000057526","Vielen Dank für Ihren Einkauf","EUR","debit","2025-02-11 23:00:00+00","2025-02-11 23:00:00+00"
"4739286244","3325","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-05-09 23:00:00+00","2025-05-09 23:00:00+00"
"4739286218","1382","Aldi Sued","DE89700800000000057526","Vielen Dank für Ihren Einkauf","EUR","debit","2025-04-16 23:00:00+00","2025-04-16 23:00:00+00"
"4739286210","2691","Aldi Sued","DE93700800000122221000","Vielen Dank für Ihren Einkauf","EUR","debit","2025-04-07 23:00:00+00","2025-04-07 23:00:00+00"
